CF,group
C20H24O15,A
C26H36O13,A
C26H42O13,A
C27H38O13,A
C16H19O11P,A
C20H19O5SP,A
C20H22O15,A
C25H22O13,A
C21H28O13,A
C23H26O16,A
C30H52O12,A
C16H8O7,A
C22H24O14,A
C32H54O11,A
C36H31O2N3,A
C14H15O9N,A
C14H8O10,A
C17H17O11N,A
C18H10O11,A
C18H22O14,A
C19H16O16,A
C19H21O3SP,A
C19H22O15,A
C19H25O11N,A
C20H22O16,A
C22H41O12P,A
C23H18O17,A
C23H28O14,A
C23H30O13,A
C23H30O14,A
C23H35O12N,A
C24H34O13,A
C27H32O13,A
C30H46O11,A
C16H28O11N2,B
C9H21O8S2P,B
C11H27O3N4P,B
C26H19O5P,B
C12H17O10NS,B
C19H36O7S2,B
C12H30O4N4S,B
C13H10O5S2,B
C10H23O8S2P,B
C18H4O2N4,B
C19H36O7S,B
C11H12O3N4S,B
C15H16O6N3P,B
C18H4ON4,B
C22H16O5N2,B
C29H23O7P,B
C15H17O15P,B
C23H32O5,B
C26H24O9NP,B
C29H18O7S2,B
C46H60O10NP,C
C25H23O4N2P,C
C25H22O8,C
C13H30O8NS2P,C
C9H18O3NS2P,C
C21H36O3S,C
C22H14O4N4S,C
C11H14O5N4,C
C17H20O4S2,C
C29H31O5P,C
C14H24O5N2,C
C20H44O4NP,C
C30H47O6P,C
C13H30O8N4S,C
C15H35O10N2S2P,C
C18H36O6S,C
C29H48O4S,C
C29H61O3P,C
C16H27O5N,C
C17H25O8NS,C
C20H26O3,C
C22H32O11S2,C
C28H29O2P,C
C28H48O4S,C
