sample_id,Cl_mgL,Dam.Upstream.Site,del18O_permil,del2H_permil,F_mgL,General_Vegetation,Hydrogeomorphology,Intermittent_or_Perennial,03_mgL,02_mgL,Number.Days.Since.Precip,pH,Precipitation.Within.Week,Primary.Sources.Flow.Variation,Sediment,SO4_mgL,Stream_Order,Temp_degC,altS,MAT,MAP,cluster
SW_S19S.0003_U_1,0.3,1,-18.75,-140,0.07,15,2,1,0.19,0.04,1,6,1,12,3,9.8,7,17,347,8.7,299,sw_2
SW_S19S.0003_U_2,0.31,1,NA,NA,0.07,15,2,1,0.23,0.04,1,6,1,12,3,8.03,7,17,347,8.7,299,sw_2
SW_S19S.0003_U_3,0.31,1,NA,NA,0.06,15,2,1,0.23,0.04,1,6,1,12,3,8.62,7,17,347,8.7,299,sw_0
SW_S19S.0004_U_1,1.83,1,-17.13,-129.3,0.07,7,2,1,0.12,0.04,1,6.5,1,12,1,6.53,6,18,346,7.7,449,sw_0
SW_S19S.0004_U_2,2,1,NA,NA,0.08,7,2,1,0.12,0.04,1,6.5,1,12,1,6.66,6,18,346,7.7,449,sw_0
SW_S19S.0004_U_3,NA,1,NA,NA,,7,2,1,,,1,6.5,1,12,1,,6,18,346,7.7,449,sw_0
SW_S19S.0005_U_1,31.94,,-10.22,-91.5,0.13,17,2,2,0.12,0.04,,8,NA,20,3,242.56,,22,,,,sw_0
SW_S19S.0005_U_2,33.9,,NA,NA,0.16,17,2,2,0.96,0.04,,8,NA,20,3,259.29,,22,,,,sw_0
SW_S19S.0005_U_3,34.06,,NA,NA,0.16,17,2,2,0.38,0.04,,8,NA,20,3,262.38,,22,,,,sw_0
SW_S19S.0006_U_1,311.31,1,NA,NA,0.02,3,1,1,6.43,0.04,6,7.5,0,5,1,33.45,2,25.7,115,12.5,1118,sw_0
SW_S19S.0006_U_2,286.25,1,NA,NA,0.12,3,1,1,6.1,0.04,6,7.5,0,5,1,30.48,2,25.7,115,12.5,1118,sw_0
SW_S19S.0006_U_3,284.53,1,NA,NA,0.09,3,1,1,6.14,0.04,6,7.5,0,5,1,29.97,2,25.7,115,12.5,1118,sw_0
SW_S19S.0007_U_1,0.39,1,-12.35,-84.3,0.04,14,2,1,0.12,0.04,3,6.5,0,9,2,0.19,1,11.2,1792,9.1,907,sw_2
SW_S19S.0007_U_2,0.41,1,NA,NA,0.03,14,2,1,0.41,0.04,3,6.5,0,9,2,0.24,1,11.2,1792,9.1,907,sw_2
SW_S19S.0007_U_3,0.38,1,NA,NA,0.04,14,2,1,0.12,0.04,3,6.5,0,9,2,0.18,1,11.2,1792,9.1,907,sw_1
SW_S19S.0008_U_1,0.22,1,-12.61,-86.4,0.03,14,2,1,0.12,0.04,,6.5,1,9,2,0.23,1,12.6,2144,7.2,854,sw_2
SW_S19S.0008_U_2,0.21,1,NA,NA,0.02,14,2,1,0.12,0.04,,6.5,1,9,2,0.24,1,12.6,2144,7.2,854,sw_2
SW_S19S.0008_U_3,0.21,1,NA,NA,0.03,14,2,1,0.12,0.04,,6.5,1,9,2,0.22,1,12.6,2144,7.2,854,sw_2
SW_S19S.0009_U_1,6.96,1,-16.86,-127.9,0.21,3,1,1,0.12,0.04,,8,1,5,3,160.13,6,25.6,1504,7.4,209,sw_0
SW_S19S.0009_U_2,6.73,1,NA,NA,0.23,3,1,1,0.12,0.04,,8,1,5,3,157.71,6,25.6,1504,7.4,209,sw_0
SW_S19S.0010_U_1,7.44,1,-2.9,-13.4,0.11,10,1,1,0.85,0.04,4,6.7,1,5,3,13.55,7,30,18,19.2,1255,sw_0
SW_S19S.0010_U_2,7.24,1,NA,NA,0.11,10,1,1,0.81,0.04,4,6.7,1,5,3,13.32,7,30,18,19.2,1255,sw_0
SW_S19S.0010_U_3,7.31,1,NA,NA,0.1,10,1,1,0.84,0.04,4,6.7,1,5,3,13.39,7,30,18,19.2,1255,sw_0
SW_S19S.0011_U_1,3.07,2,-4.31,-20.6,0.07,4,2,1,2.99,0.04,1,6.7,1,5,3,3.03,5,24,195,16.3,1251,sw_0
SW_S19S.0011_U_2,3.09,2,NA,NA,0.07,4,2,1,2.97,0.04,1,6.7,1,5,3,3.01,5,24,195,16.3,1251,sw_0
SW_S19S.0011_U_3,3.13,2,NA,NA,0.09,4,2,1,2.96,0.04,1,6.7,1,5,3,3.31,5,24,195,16.3,1251,sw_0
SW_S19S.0012_U_1,20.29,1,-8.05,-49.8,0.06,0,2,1,0.31,0.04,6,6.5,1,5,1,4.07,2,18.2,233,7.4,1166,sw_0
SW_S19S.0012_U_2,20.49,1,NA,NA,0.06,0,2,1,0.39,0.04,6,6.5,1,5,1,4,2,18.2,233,7.4,1166,sw_0
SW_S19S.0012_U_3,20.64,1,NA,NA,0.06,0,2,1,0.37,0.04,6,6.5,1,5,1,4.01,2,18.2,233,7.4,1166,sw_0
SW_S19S.0013_U_1,2.85,1,-7.98,-47.5,0.06,0,1,1,0.97,0.04,1,6.5,1,9,1,3.17,1,21.1,316,11.2,1011,sw_0
SW_S19S.0013_U_2,2.79,1,NA,NA,0.05,0,1,1,0.8,0.04,1,6.5,1,9,1,3.1,1,21.1,316,11.2,1011,sw_0
SW_S19S.0013_U_3,2.82,1,NA,NA,0.06,0,1,1,0.89,0.05,1,6.5,1,9,1,3.12,1,21.1,316,11.2,1011,sw_0
