rownames,Site,Substrate,Rep,Stream_Name,lat,long,altS,MAT,MAP,SW_pH,DO_perc.sat,DO_mg.per.L,SW_Temp_degC,X00681_NPOC_mg_per_L_as_C,X000681_NPOC_mg_per_L_as_C,00602_TN_mg_per_L_as_N,00950_F_mg_per_L,00940_Cl_mg_per_L,71856_NO2_mg_per_L_as_NO2,00945_SO4_mg_per_L_as_SO4,71851_NO3_mg_per_L_as_NO3,NPOC_Dilution_Factor,C_Sample_Vol_mL.x,C_DIW_Vol_mL.x,SPE_NPOC_sample_concentration_mg.per.L.as.C.x,SPE_sample_volume_mL.x,Final_Concen_After_SPE_ppm.x,Methanol_elution_mL.x,FTICR_Ion_Accumulation_Time,slope_of_the_regression,rate_mg_per_L_per_min,rate_mg_per_L_per_h,R_squared,R_squared_adj,p_value,total_incubation_time_min,C_Sample_Vol_mL.y,C_DIW_Vol_mL.y,Tot_volume_SPE_mL,SPE_NPOC_sample_concentration_mg.per.L.as.C.y,SPE_sample_volume_mL.y,Final_Concen_After_SPE_ppm.y,Methanol_elution_mL.y,del_2H_permil,X2H_standev_permil,del_18O_permil,X18O_standev_permil,n_injections,00691_DIC_mg_per_L_as_C
S19S_0001_Sed_Field_ICR-M,S19S_0001,Sedi_Field,Mid,Fraser,49.38639,-121.45063,35,9.9,1770,6.5,Not_Provided,Not_Provided,15,2.5,,,,,,,,2,6.36,8.64,1.166205014,15,9,1.5,0.2,,,,,,,,,,,,,,,,,,,,
S19S_0001_Sed_Field_ICR-U,S19S_0001,Sedi_Field,Up,Fraser,49.38639,-121.45063,35,9.9,1770,6.5,Not_Provided,Not_Provided,15,3.17,,,,,,,,2,5.91,9.09,1.285896792,15,9,1.5,0.2,,,,,,,,,,,,,,,,,,,,
S19S_0003_ICR-1,S19S_0003,Water,1,Thompson ,50.6887,-120.36646,347,8.7,299,6,Not_Provided,Not_Provided,17,,1.27,1.09,0.07,0.3,Below_Range,9.86,Below_Range,,,,,,,,,,,,,,,,19.14,0,19.14,1.59,19.14,12.17,1.5,-140,1.2,-18.75,0.23,4,
S19S_0003_ICR-2,S19S_0003,Water,2,Thompson ,50.6887,-120.36646,347,8.7,299,6,Not_Provided,Not_Provided,17,,1.8,0.38,0.08,0.31,Below_Range,8.09,Below_Range,,,,,,,,,,,,,,,,10.7,4.3,15,1.5,15,9,1.5,-140,1.2,-18.75,0.23,4,
S19S_0003_ICR-3,S19S_0003,Water,3,Thompson ,50.6887,-120.36646,347,8.7,299,6,Not_Provided,Not_Provided,17,,1.15,0.48,0.07,0.31,Below_Range,8.68,Below_Range,,,,,,,,,,,,,,,,18.19,0,18.19,1.48,18.19,10.77,1.5,-140,1.2,-18.75,0.23,4,8.25
S19S_0003_Sed_Field_ICR-D,S19S_0003,Sedi_Field,Down,Thompson ,50.6887,-120.36646,347,8.7,299,6,Not_Provided,Not_Provided,17,17.21,,,,,,,,2,1.24,13.76,1.5,15,9,1.5,0.15,,,,,,,,,,,,,,,,,,,,
S19S_0003_Sed_Field_ICR-M,S19S_0003,Sedi_Field,Mid,Thompson ,50.6887,-120.36646,347,8.7,299,6,Not_Provided,Not_Provided,17,30.92,,,,,,,,2,0.71,14.29,1.5,15,9,1.5,0.15,,,,,,,,,,,,,,,,,,,,
S19S_0003_Sed_Field_ICR-U,S19S_0003,Sedi_Field,Up,Thompson ,50.6887,-120.36646,347,8.7,299,6,Not_Provided,Not_Provided,17,11.28,,,,,,,,2,1.89,13.11,1.5,15,9,1.5,0.15,,,,,,,,,,,,,,,,,,,,
S19S_0004_ICR-1,S19S_0004,Water,1,South Thompson,50.7753,-119.72159,346,7.7,449,6.5,Not_Provided,Not_Provided,18,,1.96,0.68,0.08,1.82,Below_Range,6.59,Below_Range,,,,,,,,,,,,,,,,10,5,15,1.5,15,9,1.5,-129.3,1,-17.13,0.2,4,
S19S_0004_ICR-2,S19S_0004,Water,2,South Thompson,50.7753,-119.72159,346,7.7,449,6.5,Not_Provided,Not_Provided,18,,1.93,0.58,0.09,1.98,Below_Range,6.72,Below_Range,,,,,,,,,,,,,,,,10.2,4.8,15,1.5,15,9,1.5,-129.3,1,-17.13,0.2,4,
S19S_0004_ICR-3,S19S_0004,Water,3,South Thompson,50.7753,-119.72159,346,7.7,449,6.5,Not_Provided,Not_Provided,18,,1.79,47.1,0.06,1.82,Below_Range,187.67,Below_Range,,,,,,,,,,,,,,,,10.8,4.2,15,1.5,15,9,1.5,-129.3,1,-17.13,0.2,4,10.1
S19S_0004_Sed_Field_ICR-D,S19S_0004,Sedi_Field,Down,South Thompson,50.7753,-119.72159,346,7.7,449,6.5,Not_Provided,Not_Provided,18,88.35,,,,,,,,2,0.25,14.75,1.5,15,9,1.5,0.15,,,,,,,,,,,,,,,,,,,,
S19S_0004_Sed_Field_ICR-M,S19S_0004,Sedi_Field,Mid,South Thompson,50.7753,-119.72159,346,7.7,449,6.5,Not_Provided,Not_Provided,18,18.34,,,,,,,,2,1.21,13.79,1.5,15,9,1.5,0.15,,,,,,,,,,,,,,,,,,,,
S19S_0004_Sed_Field_ICR-U,S19S_0004,Sedi_Field,Up,South Thompson,50.7753,-119.72159,346,7.7,449,6.5,Not_Provided,Not_Provided,18,13.09,,,,,,,,2,1.67,13.33,1.5,15,9,1.5,0.15,,,,,,,,,,,,,,,,,,,,
S19S_0005_ICR-1,S19S_0005,Water,1,Assiniboine,49.8688,-97.40836,238,2.2,514,8,Not_Provided,Not_Provided,22,,8.37,0.72,Below_Range,32.24,Below_Range,242.56,Below_Range,,,,,,,,,,,,,,,,2.681,12.319,15,1.5,15,9,1.5,-91.5,0.8,-10.22,0.17,4,
S19S_0005_ICR-2,S19S_0005,Water,2,Assiniboine,49.8688,-97.40836,238,2.2,514,8,Not_Provided,Not_Provided,22,,8.11,1.27,Below_Range,34.21,Below_Range,259.29,1.01,,,,,,,,,,,,,,,,2.8,12.2,15,1.5,15,9,1.5,-91.5,0.8,-10.22,0.17,4,
S19S_0005_ICR-3,S19S_0005,Water,3,Assiniboine,49.8688,-97.40836,238,2.2,514,8,Not_Provided,Not_Provided,22,,8.75,1.12,Below_Range,34.36,Below_Range,262.37,Below_Range,,,,,,,,,,,,,,,,2.6,12.4,15,1.5,15,9,1.5,-91.5,0.8,-10.22,0.17,4,
S19S_0006_ICR-1,S19S_0006,Water,1,Dead Run,39.311813,-76.717476,115,12.5,1118,7.5,Not_Provided,Not_Provided,25.7,,1.43,1.94,Below_Range,311.35,Below_Range,33.45,5.37,,,,,,,,,,,,,,,,15,0,15,1.44,15,8.62,1.5,,,,,,
S19S_0006_ICR-2,S19S_0006,Water,2,Dead Run,39.311813,-76.717476,115,12.5,1118,7.5,Not_Provided,Not_Provided,25.7,,1.62,2.13,Below_Range,286.32,Below_Range,30.48,5.51,,,,,,,,,,,,,,,,13.96,1.04,15,1.5,15,9,1.5,,,,,,
S19S_0006_ICR-3,S19S_0006,Water,3,Dead Run,39.311813,-76.717476,115,12.5,1118,7.5,Not_Provided,Not_Provided,25.7,,1.52,2,Below_Range,284.6,Below_Range,29.97,4.9,,,,,,,,,,,,,,,,15,0,15,1.52,15,9.11,1.5,,,,,,
